,date,region_code,region,recovered,active_cases,deceased,cases
59,2020-12-05,3,Mallorca,16863.0,3530.0,385.0,20746.0
59,2020-12-05,2,Formentera,152.0,10.0,1.0,163.0
59,2020-12-05,4,Menorca,645.0,146.0,14.0,804.0
59,2020-12-05,0,total-balears,20749.0,4094.0,426.0,25213.0
59,2020-12-05,1,Eivissa,3089.0,408.0,26.0,3500.0
60,2020-12-06,2,Formentera,152.0,10.0,1.0,163.0
60,2020-12-06,4,Menorca,645.0,146.0,14.0,804.0
60,2020-12-06,3,Mallorca,16863.0,3530.0,385.0,20746.0
60,2020-12-06,0,total-balears,20749.0,4094.0,426.0,25213.0
60,2020-12-06,1,Eivissa,3089.0,408.0,26.0,3500.0
61,2020-12-07,3,Mallorca,16863.0,3530.0,385.0,20746.0
61,2020-12-07,1,Eivissa,3089.0,408.0,26.0,3500.0
61,2020-12-07,4,Menorca,645.0,146.0,14.0,804.0
61,2020-12-07,2,Formentera,152.0,10.0,1.0,163.0
61,2020-12-07,0,total-balears,20749.0,4094.0,426.0,25213.0
62,2020-12-08,0,total-balears,21585.0,4322.0,426.0,26277.0
62,2020-12-08,4,Menorca,677.0,180.0,14.0,870.0
62,2020-12-08,3,Mallorca,17568.0,3749.0,385.0,21670.0
62,2020-12-08,2,Formentera,153.0,12.0,1.0,166.0
62,2020-12-08,1,Eivissa,3187.0,381.0,26.0,3571.0
63,2020-12-09,4,Menorca,685.0,181.0,14.0,879.0
63,2020-12-09,2,Formentera,153.0,13.0,1.0,167.0
63,2020-12-09,0,total-balears,21757.0,4385.0,427.0,26513.0
63,2020-12-09,1,Eivissa,3195.0,382.0,26.0,3580.0
63,2020-12-09,3,Mallorca,17724.0,3809.0,386.0,21887.0
64,2020-12-10,2,Formentera,153.0,14.0,1.0,168.0
64,2020-12-10,4,Menorca,687.0,184.0,14.0,884.0
64,2020-12-10,0,total-balears,21873.0,4571.0,428.0,26818.0
64,2020-12-10,1,Eivissa,3203.0,392.0,26.0,3598.0
64,2020-12-10,3,Mallorca,17830.0,3981.0,387.0,22168.0
65,2020-12-11,2,Formentera,153.0,14.0,1.0,168.0
65,2020-12-11,0,total-balears,21873.0,4571.0,428.0,26818.0
65,2020-12-11,4,Menorca,687.0,184.0,14.0,884.0
65,2020-12-11,1,Eivissa,3203.0,392.0,26.0,3598.0
65,2020-12-11,3,Mallorca,17830.0,3981.0,387.0,22168.0
66,2020-12-12,1,Eivissa,3203.0,392.0,26.0,3598.0
66,2020-12-12,2,Formentera,153.0,14.0,1.0,168.0
66,2020-12-12,4,Menorca,687.0,184.0,14.0,884.0
66,2020-12-12,0,total-balears,21873.0,4571.0,428.0,26818.0
66,2020-12-12,3,Mallorca,17830.0,3981.0,387.0,22168.0
67,2020-12-13,1,Eivissa,3227.0,396.0,26.0,3626.0
67,2020-12-13,2,Formentera,153.0,19.0,1.0,173.0
67,2020-12-13,4,Menorca,703.0,183.0,14.0,899.0
67,2020-12-13,0,total-balears,22172.0,5237.0,430.0,27785.0
67,2020-12-13,3,Mallorca,18089.0,4639.0,389.0,23087.0
68,2020-12-14,1,Eivissa,3237.0,401.0,26.0,3641.0
68,2020-12-14,2,Formentera,154.0,19.0,1.0,174.0
68,2020-12-14,0,total-balears,22284.0,5423.0,432.0,28085.0
68,2020-12-14,3,Mallorca,18184.0,4816.0,391.0,23361.0
68,2020-12-14,4,Menorca,709.0,187.0,14.0,909.0
69,2020-12-15,2,Formentera,155.0,28.0,1.0,184.0
69,2020-12-15,0,total-balears,22799.0,5304.0,435.0,28486.0
69,2020-12-15,4,Menorca,726.0,177.0,14.0,916.0
69,2020-12-15,3,Mallorca,18640.0,4727.0,394.0,23733.0
69,2020-12-15,1,Eivissa,3278.0,372.0,26.0,3653.0
70,2020-12-16,3,Mallorca,18889.0,4827.0,395.0,24083.0
70,2020-12-16,4,Menorca,735.0,175.0,15.0,924.0
70,2020-12-16,2,Formentera,156.0,37.0,1.0,194.0
70,2020-12-16,0,total-balears,23075.0,5418.0,437.0,28878.0
70,2020-12-16,1,Eivissa,3295.0,379.0,26.0,3677.0
71,2020-12-17,1,Eivissa,3313.0,388.0,26.0,3704.0
