,date,region_code,region,cases,recovered,active_cases,deceased
40,2020-11-16,07048,Sant Josep de sa Talaia,475.0,409.0,66.0,1.0
41,2020-11-17,07054,Santa Eulària des Riu,511.0,417.0,92.0,11.0
41,2020-11-17,07046,Sant Antoni de Portmany,548.0,456.0,90.0,5.0
41,2020-11-17,0,total-eivissa,3233.0,2761.0,469.0,26.0
41,2020-11-17,07026,Eivissa,1642.0,1431.0,211.0,9.0
41,2020-11-17,07050,Sant Joan de Labritja,54.0,46.0,9.0,0.0
41,2020-11-17,07048,Sant Josep de sa Talaia,478.0,411.0,67.0,1.0
42,2020-11-18,07048,Sant Josep de sa Talaia,481.0,418.0,63.0,1.0
42,2020-11-18,07026,Eivissa,1651.0,1443.0,208.0,9.0
42,2020-11-18,0,total-eivissa,3255.0,2792.0,460.0,26.0
42,2020-11-18,07054,Santa Eulària des Riu,517.0,422.0,93.0,11.0
42,2020-11-18,07050,Sant Joan de Labritja,54.0,46.0,9.0,0.0
42,2020-11-18,07046,Sant Antoni de Portmany,552.0,463.0,87.0,5.0
43,2020-11-19,07054,Santa Eulària des Riu,524.0,428.0,94.0,11.0
43,2020-11-19,07048,Sant Josep de sa Talaia,483.0,426.0,57.0,1.0
43,2020-11-19,07026,Eivissa,1662.0,1452.0,210.0,9.0
43,2020-11-19,07046,Sant Antoni de Portmany,565.0,470.0,93.0,5.0
43,2020-11-19,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
43,2020-11-19,0,total-eivissa,3288.0,2823.0,462.0,26.0
44,2020-11-20,07048,Sant Josep de sa Talaia,483.0,426.0,57.0,1.0
44,2020-11-20,07046,Sant Antoni de Portmany,565.0,470.0,93.0,5.0
44,2020-11-20,0,total-eivissa,3288.0,2823.0,462.0,26.0
44,2020-11-20,07050,Sant Joan de Labritja,54.0,47.0,8.0,0.0
44,2020-11-20,07054,Santa Eulària des Riu,524.0,428.0,94.0,11.0
44,2020-11-20,07026,Eivissa,1662.0,1452.0,210.0,9.0
45,2020-11-21,0,total-eivissa,3288.0,2823.0,462.0,26.0
