,date,region_code,region,cases,recovered,active_cases,deceased
37,2020-11-13,07002,Alaior,50.0,30.0,20.0,0.0
37,2020-11-13,07032,Maó,203.0,161.0,37.0,6.0
37,2020-11-13,07023,Ferreries,5.0,3.0,2.0,0.0
37,2020-11-13,0,total-menorca,655.0,517.0,125.0,14.0
38,2020-11-14,0,total-menorca,655.0,517.0,125.0,14.0
38,2020-11-14,07064,Es Castell,38.0,22.0,16.0,0.0
38,2020-11-14,07002,Alaior,50.0,30.0,20.0,0.0
38,2020-11-14,07023,Ferreries,5.0,3.0,2.0,0.0
38,2020-11-14,07052,Sant Lluís,35.0,30.0,4.0,1.0
38,2020-11-14,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
38,2020-11-14,07015,Ciutadella de Menorca,294.0,245.0,46.0,3.0
38,2020-11-14,07037,Es Mercadal,28.0,24.0,0.0,4.0
38,2020-11-14,07032,Maó,203.0,161.0,37.0,6.0
39,2020-11-15,0,total-menorca,678.0,527.0,137.0,14.0
39,2020-11-15,07064,Es Castell,42.0,23.0,18.0,0.0
39,2020-11-15,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
39,2020-11-15,07052,Sant Lluís,37.0,30.0,6.0,1.0
39,2020-11-15,07032,Maó,208.0,164.0,39.0,6.0
39,2020-11-15,07023,Ferreries,5.0,4.0,1.0,0.0
39,2020-11-15,07015,Ciutadella de Menorca,299.0,249.0,47.0,3.0
39,2020-11-15,07002,Alaior,57.0,31.0,26.0,0.0
39,2020-11-15,07037,Es Mercadal,28.0,24.0,0.0,4.0
40,2020-11-16,07015,Ciutadella de Menorca,300.0,250.0,47.0,3.0
40,2020-11-16,07023,Ferreries,5.0,4.0,1.0,0.0
40,2020-11-16,07064,Es Castell,42.0,24.0,17.0,0.0
40,2020-11-16,07052,Sant Lluís,37.0,31.0,5.0,1.0
40,2020-11-16,07032,Maó,209.0,164.0,40.0,6.0
40,2020-11-16,0,total-menorca,696.0,530.0,152.0,14.0
40,2020-11-16,07002,Alaior,73.0,31.0,42.0,0.0
40,2020-11-16,07037,Es Mercadal,28.0,24.0,0.0,4.0
40,2020-11-16,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
41,2020-11-17,07052,Sant Lluís,37.0,31.0,5.0,1.0
41,2020-11-17,0,total-menorca,698.0,546.0,139.0,14.0
41,2020-11-17,07002,Alaior,73.0,37.0,36.0,0.0
41,2020-11-17,07037,Es Mercadal,28.0,24.0,0.0,4.0
41,2020-11-17,07064,Es Castell,42.0,25.0,17.0,0.0
41,2020-11-17,07015,Ciutadella de Menorca,302.0,254.0,45.0,3.0
41,2020-11-17,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
41,2020-11-17,07023,Ferreries,5.0,4.0,1.0,0.0
41,2020-11-17,07032,Maó,209.0,169.0,35.0,6.0
42,2020-11-18,07064,Es Castell,43.0,27.0,16.0,0.0
42,2020-11-18,07902,Es Migjorn Gran,2.0,2.0,0.0,0.0
42,2020-11-18,07002,Alaior,75.0,37.0,38.0,0.0
42,2020-11-18,07015,Ciutadella de Menorca,303.0,257.0,43.0,3.0
42,2020-11-18,0,total-menorca,705.0,553.0,139.0,14.0
42,2020-11-18,07023,Ferreries,5.0,4.0,1.0,0.0
42,2020-11-18,07037,Es Mercadal,28.0,24.0,0.0,4.0
42,2020-11-18,07052,Sant Lluís,37.0,31.0,5.0,1.0
42,2020-11-18,07032,Maó,212.0,171.0,36.0,6.0
43,2020-11-19,07015,Ciutadella de Menorca,303.0,258.0,42.0,3.0
43,2020-11-19,0,total-menorca,711.0,557.0,141.0,14.0
43,2020-11-19,07023,Ferreries,5.0,4.0,1.0,0.0
43,2020-11-19,07037,Es Mercadal,28.0,24.0,0.0,4.0
